datetime,symbol,open,high,low,close,volume
2021-08-12,BITKUB:KUBTHB,26.04,26.5,23.5,23.68,4616634.40070703
2021-08-13,BITKUB:KUBTHB,23.68,25.5,23.6,24.53,2500048.46083642
2021-08-14,BITKUB:KUBTHB,24.54,25.4,24.0,24.49,2585416.56985452
2021-08-15,BITKUB:KUBTHB,24.46,26.46,24.0,25.12,5036382.26112777
2021-08-16,BITKUB:KUBTHB,25.2,25.9,24.88,25.32,1765349.84632612
2021-08-17,BITKUB:KUBTHB,25.31,25.36,24.65,24.72,1370000.90358866
2021-08-18,BITKUB:KUBTHB,24.72,26.0,24.01,25.01,3625178.56685214
2021-08-19,BITKUB:KUBTHB,25.02,25.19,24.5,24.61,1145525.27814926
2021-08-20,BITKUB:KUBTHB,24.62,25.9,24.6,25.47,2428777.18185363
2021-08-21,BITKUB:KUBTHB,25.35,25.8,25.06,25.58,1327739.78442779
2021-08-22,BITKUB:KUBTHB,25.56,26.0,25.2,25.33,1833450.92515705
2021-08-23,BITKUB:KUBTHB,25.35,25.5,25.0,25.1,2532744.68504109
2021-08-24,BITKUB:KUBTHB,25.09,25.16,24.3,24.4,1804573.17024133
2021-08-25,BITKUB:KUBTHB,24.42,25.02,24.07,24.85,1255209.21947963
2021-08-26,BITKUB:KUBTHB,24.85,24.85,24.0,24.1,1127499.94626151
2021-08-27,BITKUB:KUBTHB,24.1,24.4,23.71,24.29,1177294.86937012
2021-08-28,BITKUB:KUBTHB,24.3,24.5,24.0,24.31,853405.90028243
2021-08-29,BITKUB:KUBTHB,24.37,25.02,24.09,24.76,1150437.88149547
2021-08-30,BITKUB:KUBTHB,24.77,25.02,24.5,24.85,1334620.06661335
2021-08-31,BITKUB:KUBTHB,24.84,25.02,24.62,25.01,1375486.10960533
2021-09-01,BITKUB:KUBTHB,25.01,25.97,24.66,25.1,2883220.7156469
2021-09-02,BITKUB:KUBTHB,25.1,25.25,24.9,25.05,1974026.97442354
2021-09-03,BITKUB:KUBTHB,25.05,25.4,24.9,25.13,1456591.91647237
2021-09-04,BITKUB:KUBTHB,25.13,25.29,25.01,25.1,1110920.31430641
2021-09-05,BITKUB:KUBTHB,25.1,25.23,25.01,25.22,869033.53342392
2021-09-06,BITKUB:KUBTHB,25.23,28.0,25.05,26.9,4460307.14206818
2021-09-07,BITKUB:KUBTHB,26.86,27.4,25.0,26.33,2554993.23521404
2021-09-08,BITKUB:KUBTHB,26.33,26.72,25.1,26.06,1333863.4604465
2021-09-09,BITKUB:KUBTHB,26.06,26.85,25.5,26.37,897372.85078831
2021-09-10,BITKUB:KUBTHB,26.36,26.72,25.6,26.09,632475.10846527
2021-09-11,BITKUB:KUBTHB,26.09,26.6,25.82,26.2,457574.03634936
2021-09-12,BITKUB:KUBTHB,26.19,26.5,25.82,26.13,472631.89664284
2021-09-13,BITKUB:KUBTHB,26.13,26.3,25.8,26.01,470911.10122788
2021-09-14,BITKUB:KUBTHB,26.2,26.31,26.0,26.2,353206.51569551
2021-09-15,BITKUB:KUBTHB,26.14,26.79,26.05,26.25,851002.02562702
2021-09-16,BITKUB:KUBTHB,26.24,26.4,26.01,26.09,596687.84778089
2021-09-17,BITKUB:KUBTHB,26.1,26.15,26.0,26.07,425838.33961504
2021-09-18,BITKUB:KUBTHB,26.1,26.11,26.01,26.05,282004.54116517
2021-09-19,BITKUB:KUBTHB,26.04,26.1,25.85,25.9,472490.9041807
2021-09-20,BITKUB:KUBTHB,25.95,26.0,24.89,25.49,861919.41096146
2021-09-21,BITKUB:KUBTHB,25.3,25.67,24.9,25.18,355741.29256197
2021-09-22,BITKUB:KUBTHB,25.17,25.22,24.9,25.13,452857.88056735
2021-09-23,BITKUB:KUBTHB,25.13,25.59,25.1,25.28,208060.90771076
2021-09-24,BITKUB:KUBTHB,25.28,25.49,24.9,25.35,339127.44439379
2021-09-25,BITKUB:KUBTHB,25.16,25.35,25.02,25.1,97641.46265172
2021-09-26,BITKUB:KUBTHB,25.1,25.4,24.91,25.13,314172.87622357
2021-09-27,BITKUB:KUBTHB,25.18,25.5,25.03,25.28,203026.44509042
2021-09-28,BITKUB:KUBTHB,25.28,25.59,25.1,25.15,340199.79745881
2021-09-29,BITKUB:KUBTHB,25.15,25.25,25.0,25.1,251618.36206868
2021-09-30,BITKUB:KUBTHB,25.23,25.3,25.01,25.29,213981.16830522
2021-10-01,BITKUB:KUBTHB,25.27,25.72,24.5,25.18,939867.10735938
2021-10-02,BITKUB:KUBTHB,25.18,25.4,25.11,25.32,491167.71090425
2021-10-03,BITKUB:KUBTHB,25.31,25.38,25.19,25.26,274624.69254955
2021-10-04,BITKUB:KUBTHB,25.27,25.36,25.05,25.11,378234.18621633
2021-10-05,BITKUB:KUBTHB,25.12,25.34,25.11,25.26,356541.11224253
2021-10-06,BITKUB:KUBTHB,25.25,25.35,25.08,25.25,409474.1835175
2021-10-07,BITKUB:KUBTHB,25.25,25.35,25.15,25.3,351209.57904569
2021-10-08,BITKUB:KUBTHB,25.3,25.4,25.19,25.27,226085.44748779
2021-10-09,BITKUB:KUBTHB,25.3,25.5,25.27,25.36,200203.35608396
2021-10-10,BITKUB:KUBTHB,25.36,27.79,25.3,26.79,1401841.58472406
2021-10-11,BITKUB:KUBTHB,26.65,27.0,25.5,26.21,973084.25198585
2021-10-12,BITKUB:KUBTHB,26.23,26.69,25.75,26.15,479057.74013921
2021-10-13,BITKUB:KUBTHB,25.96,26.5,25.81,26.13,307448.98835346
2021-10-14,BITKUB:KUBTHB,26.13,26.45,26.03,26.3,263899.19111992
2021-10-15,BITKUB:KUBTHB,26.3,26.94,26.22,26.77,466855.40521491
2021-10-16,BITKUB:KUBTHB,26.77,27.5,26.21,27.04,881559.17880932
2021-10-17,BITKUB:KUBTHB,27.04,28.0,26.95,27.67,937214.80735987
2021-10-18,BITKUB:KUBTHB,27.68,28.0,27.3,27.69,527153.30691546
2021-10-19,BITKUB:KUBTHB,27.63,30.0,27.51,29.84,2832801.30569617
2021-10-20,BITKUB:KUBTHB,29.77,34.97,29.75,32.96,7178417.33927448
2021-10-21,BITKUB:KUBTHB,32.95,32.95,31.1,31.32,1821243.93718008
2021-10-22,BITKUB:KUBTHB,31.31,32.68,31.3,31.75,915729.06977987
2021-10-23,BITKUB:KUBTHB,31.75,32.3,31.3,32.02,681840.69470061
2021-10-24,BITKUB:KUBTHB,32.02,34.0,32.0,33.6,2138359.01668449
2021-10-25,BITKUB:KUBTHB,33.6,33.9,32.3,32.82,1891185.16909247
2021-10-26,BITKUB:KUBTHB,32.82,33.0,32.01,32.31,1339838.84996028
2021-10-27,BITKUB:KUBTHB,32.31,32.69,31.11,31.46,1367309.02532135
2021-10-28,BITKUB:KUBTHB,31.45,32.5,31.01,32.15,1076705.61626674
2021-10-29,BITKUB:KUBTHB,32.15,32.5,32.01,32.25,1018869.61872141
2021-10-30,BITKUB:KUBTHB,32.19,32.95,32.18,32.64,985147.23951396
2021-10-31,BITKUB:KUBTHB,32.74,33.0,32.1,32.71,1019686.30763966
2021-11-01,BITKUB:KUBTHB,32.8,33.0,32.12,32.84,1080685.41159745
2021-11-02,BITKUB:KUBTHB,32.84,99.99,32.31,77.28,32648884.0821742
2021-11-03,BITKUB:KUBTHB,77.28,94.5,75.01,81.43,14225821.76417978
2021-11-04,BITKUB:KUBTHB,81.3,84.5,77.77,78.1,3087684.66347546
2021-11-05,BITKUB:KUBTHB,78.89,80.0,75.01,77.39,2080220.36090199
2021-11-06,BITKUB:KUBTHB,76.42,85.0,75.1,77.9,3414462.52151951
2021-11-07,BITKUB:KUBTHB,78.2,80.0,77.01,77.8,840775.33321131
2021-11-08,BITKUB:KUBTHB,77.8,78.85,76.5,78.03,1103412.48283477
2021-11-09,BITKUB:KUBTHB,78.03,78.48,76.59,77.25,1069567.93649501
2021-11-10,BITKUB:KUBTHB,77.25,77.61,76.3,76.4,569301.11633622
2021-11-11,BITKUB:KUBTHB,76.4,76.68,56.0,69.07,2040390.59060092
2021-11-12,BITKUB:KUBTHB,69.29,74.0,67.5,72.68,1147915.04893737
2021-11-13,BITKUB:KUBTHB,72.67,78.04,70.0,73.58,1724115.33215767
2021-11-14,BITKUB:KUBTHB,73.24,76.5,72.19,73.79,666360.92352364
2021-11-15,BITKUB:KUBTHB,73.8,75.0,73.0,73.7,438963.8222631
2021-11-16,BITKUB:KUBTHB,73.65,73.99,68.5,70.94,803657.5145272
2021-11-17,BITKUB:KUBTHB,70.72,74.0,70.0,71.26,714269.98639307
2021-11-18,BITKUB:KUBTHB,71.2,72.4,68.0,68.05,725401.06662139
2021-11-19,BITKUB:KUBTHB,68.06,71.6,66.0,70.13,800914.27582174
2021-11-20,BITKUB:KUBTHB,70.14,71.54,68.25,69.88,402266.06157055
2021-11-21,BITKUB:KUBTHB,69.88,70.85,68.0,69.97,299503.20278553
2021-11-22,BITKUB:KUBTHB,69.96,70.5,68.5,69.1,326207.05831675
2021-11-23,BITKUB:KUBTHB,69.1,85.0,68.5,76.02,4359648.35123226
2021-11-24,BITKUB:KUBTHB,76.8,84.45,75.45,79.75,3070316.06848611
2021-11-25,BITKUB:KUBTHB,79.75,98.0,77.01,91.56,7254239.15860882
2021-11-26,BITKUB:KUBTHB,91.56,124.98,90.14,117.5,11186534.95340319
2021-11-27,BITKUB:KUBTHB,117.5,199.0,112.0,181.0,14891064.77595961
2021-11-28,BITKUB:KUBTHB,181.0,349.0,181.0,336.0,16580643.79557576
2021-11-29,BITKUB:KUBTHB,336.5,499.99,320.0,454.89,15419760.68981122
2021-11-30,BITKUB:KUBTHB,454.0,480.0,150.0,233.49,14166665.26704781
2021-12-01,BITKUB:KUBTHB,233.49,299.0,200.0,265.48,9504946.79011481
2021-12-02,BITKUB:KUBTHB,265.48,280.0,228.28,239.2,3546481.80260508
2021-12-03,BITKUB:KUBTHB,239.2,259.0,230.0,240.99,1858569.21981628
2021-12-04,BITKUB:KUBTHB,240.07,245.0,200.0,212.05,4028253.071516
2021-12-05,BITKUB:KUBTHB,212.5,249.8,210.01,235.88,2750784.79108958
2021-12-06,BITKUB:KUBTHB,235.0,247.0,224.0,242.2,2128463.57642588
2021-12-07,BITKUB:KUBTHB,242.98,248.01,230.0,238.47,1355002.88573303
2021-12-08,BITKUB:KUBTHB,237.41,241.5,230.5,233.05,646929.39304345
2021-12-09,BITKUB:KUBTHB,233.05,237.48,231.0,231.2,429747.88262305
2021-12-10,BITKUB:KUBTHB,231.2,233.9,225.0,225.11,591179.32718407
2021-12-11,BITKUB:KUBTHB,226.0,249.5,220.0,239.98,1688751.52006126
2021-12-12,BITKUB:KUBTHB,239.01,275.0,235.2,267.01,3305983.28893214
2021-12-13,BITKUB:KUBTHB,267.5,270.0,250.1,255.24,997893.51478804
2021-12-14,BITKUB:KUBTHB,255.23,269.6,252.01,259.35,1086386.77644618
2021-12-15,BITKUB:KUBTHB,259.35,274.0,257.08,271.8,1435520.99374033
2021-12-16,BITKUB:KUBTHB,271.52,379.98,267.04,347.0,7824300.33436369
2021-12-17,BITKUB:KUBTHB,346.5,375.0,305.55,340.38,4082458.36203224
2021-12-18,BITKUB:KUBTHB,340.38,365.0,330.0,357.01,1906227.65134321
2021-12-19,BITKUB:KUBTHB,357.01,375.0,352.5,363.49,1866421.12033622
